Game,Copies sold,As of,Release date,Genre,Developer,Publisher,Console_name
New Super Mario Bros. U † *,5.82 million,"March 31, 2024",2012-11-18,Platform,Nintendo EAD,Nintendo,Wii U
Nintendo Land †,5.21 million,"March 31, 2024",2012-11-18,Party,Nintendo EAD,Nintendo,Wii U
Lego City Undercover *,1.15 million,"December 31, 2022",2013-03-18,Action-adventure,TT Fusion,Nintendo,Wii U
Pikmin 3 *,1.28 million,"December 31, 2022",2013-07-13,Real-time strategypuzzle,Nintendo EAD,Nintendo,Wii U
The Legend of Zelda: The Wind Waker HD †,2.37 million,"March 31, 2024",2013-09-20,Action-adventure,Nintendo EAD,Nintendo,Wii U
Wii Party U †,1.79 million,"December 31, 2020",2013-10-25,Party,NDcubeNintendo SPD,Nintendo,Wii U
Super Mario 3D World † *,5.89 million,"March 31, 2024",2013-11-21,Platform,Nintendo EAD1-Up Studio,Nintendo,Wii U
Donkey Kong Country: Tropical Freeze *,2.02 million,"December 31, 2020",2014-02-21,Platform,Retro Studios,Nintendo,Wii U
Mario Kart 8 † *,8.46 million,"March 31, 2024",2014-05-29,Kart racing,Nintendo EAD,Nintendo,Wii U
Hyrule Warriors * #,1 million,"January 27, 2015",2014-08-14,Hack and slash,Omega ForceTeam Ninja,JP: Koei TecmoWW: Nintendo,Wii U
Captain Toad: Treasure Tracker * #,1.37 million,"December 31, 2020",2014-11-13,Action puzzle,Nintendo EAD,Nintendo,Wii U
Super Smash Bros. for Wii U †,5.38 million,"March 31, 2024",2014-11-21,Fighting,Sora Ltd.Bandai Namco Entertainment,Nintendo,Wii U
Mario Party 10,2.27 million,"March 31, 2024",2015-03-12,Party,NDcubeNintendo SPD,Nintendo,Wii U
Splatoon †,4.95 million,"March 31, 2024",2015-05-28,Third-person shooter,Nintendo EAD,Nintendo,Wii U
Yoshi's Woolly World #,1.57 million,"December 31, 2020",2015-06-25,Platform,Good-Feel,Nintendo,Wii U
Super Mario Maker † #,4.02 million,"March 31, 2024",2015-09-11,Level editorplatform,Nintendo EAD,Nintendo,Wii U
The Legend of Zelda: Twilight Princess HD,1.17 million,"December 31, 2022",2016-03-04,Action-adventure,Tantalus Media,Nintendo,Wii U
Pokkén Tournament † *,1 million,"August 18, 2016",2016-03-18,Fighting,Bandai Namco Studios,JP: The Pokémon CompanyWW: Nintendo,Wii U
The Legend of Zelda: Breath of the Wild *,1.70 million,"December 31, 2020",2017-03-03,Action-adventure,Nintendo EPD,Nintendo,Wii U
New Super Luigi U † *,3.07 million,"March 31, 2024",,Platform,Nintendo EAD,Nintendo,Wii U
